profile_id,name,sector,skills,interests,current_industry
1,Person 1,Finance & Banking,"Insurance Underwriting, Financial Analysis","FinTech Innovation, Venture Capital",Private Equity
2,Person 2,Healthcare & Life Sciences,"Occupational Therapy, Pharmaceutical Development","Medical Research, Health Informatics, Bioethics",Telemedicine
3,Person 3,Energy & Utilities,"Environmental Compliance, Power Generation, Water Resource Management, Wind Energy","Climate Change Mitigation, Oil & Gas Exploration, Water Resource Management",Water Management
4,Person 4,Education & Training,"Student Advising, Corporate Training, Educational Technology, Classroom Management","Language Learning, Curriculum Development, Vocational Training",Corporate Training
5,Person 5,Transportation & Logistics,"Rail Transport, Customs Brokerage, Logistics Analysis, Inventory Control, Cold Chain Logistics","Freight Management, Maritime Logistics, Cold Chain Logistics, Logistics Optimization",Maritime
6,Person 6,Education & Training,"Teacher Training, Tutoring, Instructional Design, Vocational Training","Educational Research, Vocational Training",Vocational Training
7,Person 7,Hospitality & Travel,"Reservation Management, Bartending, Restaurant Management, Travel Coordination","Culinary Arts, Cruise Tourism, Travel Writing",Hotels & Resorts
8,Person 8,Consumer Goods & Retail,"Product Management, Retail Management, Retail Analytics, Customer Service, Visual Merchandising","Packaging Design, Luxury Goods, E-commerce, Customer Experience Design",Consumer Electronics
9,Person 9,Real Estate & Construction,"Real Estate Development, Real Estate Investment, Commercial Real Estate, Contract Negotiation, Green Building","Real Estate Law, Residential Real Estate",Property Management
10,Person 10,Legal & Compliance,"Fraud Prevention, Litigation Support, Tax Law","Legal Research, Intellectual Property",Intellectual Property Law
11,Person 11,Education & Training,"Curriculum Assessment, Special Education, Tutoring, Education Policy","Language Learning, Corporate Training, E-learning",Language Learning
12,Person 12,Transportation & Logistics,"Third-Party Logistics (3PL), Logistics Analysis, Cold Chain Logistics","Urban Transit, Smart Cities, Route Optimization, Freight Management",Freight Forwarding
13,Person 13,Hospitality & Travel,"Food & Beverage Management, Hospitality Marketing, Travel Planning, Culinary Arts","Cruise Tourism, Luxury Travel, Recreation & Leisure, Event Management",Casino & Gaming
